Produto,Link,location,day,error
Placa Vídeo Rtx 2060 Ultra 6gb Triple Fan Rgb Igame Colorful,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-video-rtx-2060-ultra-6gb-triple-fan-rgb-igame-colorful-1397920681,"Uberlândia, Centro","27 de mai, 14:49","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(40).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo ,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/placa-de-video-1407443166,"Juiz de Fora, Granbery","27 de mai, 13:28","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(41).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo XFX GeForce 9 Series,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-xfx-geforce-9-series-1407434347,"Santa Luzia, Nova Esperança (São Benedito)","27 de mai, 12:54","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(42).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Video RTX 3060 MSI Ventus 2X, 12GB GDDR6",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rtx-3060-msi-ventus-2x-12gb-gddr6-1398370847,"Ibirité, Los Angeles","27 de mai, 10:39","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(45).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo AMD RX590 8GB,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-amd-rx590-8gb-1365143156,"Ibirité, Canaã - 1ª Seção","27 de mai, 10:19","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(46).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo NVIDIA GeForce GTX 1660 Super OC 6GB GDDR6   Asus Tuf Gaming  NOVOLACRADO,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-nvidia-geforce-gtx-1660-super-oc-6gb-gddr6-asus-tuf-gaming-novolacrado-1388445153,"Belo Horizonte, Lourdes","27 de mai, 09:24","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(48).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Vídeo Galax GeForce RTX 3050 EX V2, 6GB, GDDR6, 96 Bits NOVO LACRADO ",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-galax-geforce-rtx-3050-ex-v2-6gb-gddr6-96-bits-novo-lacrado-1397359718,"Belo Horizonte, Lourdes","27 de mai, 09:14","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(49).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Video RTX 4060 Infinity 2 Palit NVIDIA GeForce, 8GB, GDDR6, DLSS, Ray Tracing, G-",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rtx-4060-infinity-2-palit-nvidia-geforce-8gb-gddr6-dlss-ray-tracing-g-1368929989,"Belo Horizonte, Lourdes","27 de mai, 09:14","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").first.locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de vídeo NVIDIA GeForce GTX 1660 Super OC 6GB GDDR6   Asus Tuf Gaming   Novo, ",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-nvidia-geforce-gtx-1660-super-oc-6gb-gddr6-asus-tuf-gaming-novo-1388265219,"Belo Horizonte, Centro","27 de mai, 09:11","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(1).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Vídeo Galax GeForce RTX 3050 EX V2, 6GB, GDDR6, 96 Bits NOVA LACRADA ",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-galax-geforce-rtx-3050-ex-v2-6gb-gddr6-96-bits-nova-lacrada-1397466760,"Belo Horizonte, Lourdes","27 de mai, 09:06","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(2).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo Nvidia Afox GeForce GT 740 nova na caixa,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-nvidia-afox-geforce-gt-740-nova-na-caixa-1407116923,"Uberlândia, Nossa Senhora Aparecida","26 de mai, 14:27","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(12).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa De Vídeo Duex Geforce GT 610, Nova na caixa",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-duex-geforce-gt-610-nova-na-caixa-1407114115,"Uberlândia, Nossa Senhora Aparecida","26 de mai, 14:17","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(14).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Zotac GeForce RTX 3070 Twin Edge OC,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-zotac-geforce-rtx-3070-twin-edge-oc-1407080026,"Vespasiano, Nova Pampulha","26 de mai, 12:31","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(18).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
placa de video,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/informatica/placas-de-video/placa-de-video-1407042012,"Varginha, Vila São Geraldo","26 de mai, 10:17","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(22).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Gigabyte GeForce GTX 960 WindForce 2G,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gigabyte-geforce-gtx-960-windforce-2g-1364318679,Caeté,"26 de mai, 05:36","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(23).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo XFX Radeon HD 6670,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-xfx-radeon-hd-6670-1406931462,"Contagem, Funcionários","25 de mai, 19:48","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(25).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo RX 6900 XT Red Devil ,https://mg.olx.com.br/regiao-de-divinopolis/informatica/placas-de-video/placa-de-video-rx-6900-xt-red-devil-1406844630,"Divinópolis, Catalão","25 de mai, 11:13","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(35).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Veineda Gaming Series,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-veineda-gaming-series-1406831062,"Contagem, Água Branca","25 de mai, 09:53","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(39).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de video GeForce GT730 4GB,https://mg.olx.com.br/regiao-de-divinopolis/informatica/placas-de-video/placa-de-video-geforce-gt730-4gb-1406658031,"Divinópolis, Bela Vista","24 de mai, 11:41","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(43).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa De Vídeo AMD Radeon RX 470 4 GB, GDDR5,  256  bits, Nova, Lacrada",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-amd-radeon-rx-470-4-gb-gddr5-256-bits-nova-lacrada-1388859257,"Uberlândia, Alto Umuarama","23 de mai, 16:19","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(48).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo NVIDIA GeForce GTX 1660 Super OC 6GB GDDR6 - NOVA LACRADA ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-nvidia-geforce-gtx-1660-super-oc-6gb-gddr6-nova-lacrada-1388542866,"Belo Horizonte, Lourdes","23 de mai, 08:48","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(1).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo ASUS GTX1050,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-asus-gtx1050-1406165544,"Igarapé, Fernão Dias","22 de mai, 18:02","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(6).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Asus GTX 1060 GDDR5 3GB,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-asus-gtx-1060-gddr5-3gb-1370786414,"Ibirité, Los Angeles","22 de mai, 10:30","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(9).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Vídeo Palit NVIDIA GeForce RTX 4060 Infinity 2 OC, 8GB, GDDR6, Nova, Lacrada",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-palit-nvidia-geforce-rtx-4060-infinity-2-oc-8gb-gddr6-nova-lacrada-1371195048,"Uberlândia, Alto Umuarama","22 de mai, 08:06","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(10).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo AMD Radeon RX - PCYes,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-amd-radeon-rx-pcyes-1405635200,"Belo Horizonte, Coração de Jesus","21 de mai, 08:25","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(24).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa De Vídeo Zotac Gtx1650, 4GB, GDDR6 Amp",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-zotac-gtx1650-4gb-gddr6-amp-1297537577,"Belo Horizonte, Centro","20 de mai, 08:09","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(31).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Vendo Placa de Vídeo GTX780,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/vendo-placa-de-video-gtx780-1394202791,"Contagem, Industrial","20 de mai, 01:04","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(32).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Lacrada Nota fiscal RX6600 8GB Challeger ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-lacrada-nota-fiscal-rx6600-8gb-challeger-1405247023,"Sete Lagoas, Centro","19 de mai, 23:42","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(33).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo Rtx 3050 8gb,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/informatica/placas-de-video/placa-de-video-rtx-3050-8gb-1405176351,"Governador Valadares, São Pedro","19 de mai, 17:22","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(36).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Galax GeForce GTX 1660,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/informatica/placas-de-video/placa-de-video-galax-geforce-gtx-1660-1404996575,"Montes Claros, Major Prates","19 de mai, 08:36","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(41).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Vendo Placa de Vídeo RX 550 4GB,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/vendo-placa-de-video-rx-550-4gb-1390638397,"Juiz de Fora, Progresso","19 de mai, 08:27","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(42).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Sapphire Radeon RX 550 Pulse 4GB GDDR5,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-sapphire-radeon-rx-550-pulse-4gb-gddr5-1392069996,"Belo Horizonte, Ermelinda","18 de mai, 22:52","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(47).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Vídeo Galax GeForce GT 730 4GB DD3 64bits, 73GQS4HX00WG GALAX",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-galax-geforce-gt-730-4gb-dd3-64bits-73gqs4hx00wg-galax-1404724260,"Belo Horizonte, Sagrada Família","17 de mai, 16:46","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(7).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Vídeo RTX 4060 VENTUS 2x Black OC MSI NVIDIA GeForce, 8GB GDDR6, DLSS, Ray Tracin",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rtx-4060-ventus-2x-black-oc-msi-nvidia-geforce-8gb-gddr6-dlss-ray-tracin-1335384838,"Belo Horizonte, Centro","17 de mai, 09:10","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(12).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Video RTX 4060 Infinity 2 Palit NVIDIA GeForce, 8GB, GDDR6, DLSS",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rtx-4060-infinity-2-palit-nvidia-geforce-8gb-gddr6-dlss-1396073065,"Belo Horizonte, Lourdes","17 de mai, 08:08","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(13).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de video GTS450 Funcionando perfeitamente,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gts450-funcionando-perfeitamente-1395199579,"Ribeirão das Neves, Campos Silveira","16 de mai, 15:18","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(17).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Vídeo Galax GeForce RTX 3050 EX V2, 6GB, GDDR6, 96 Bits (NOVO LACRADO)",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-galax-geforce-rtx-3050-ex-v2-6gb-gddr6-96-bits-novo-lacrado-1325126355,"Belo Horizonte, Lourdes","16 de mai, 08:13","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(25).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Vídeo GTX 1650 D6 Ventus XS OCV3 MSI NVIDIA GeForce, 4GB GDDR6 - NOVO/LACRADO!",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gtx-1650-d6-ventus-xs-ocv3-msi-nvidia-geforce-4gb-gddr6-novo-lacrado-1368923542,"Belo Horizonte, Lourdes","16 de mai, 07:10","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(26).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Vídeo GTX 1660 Asus Phoenix NVIDIA GeForce 6GB, GDDR5 NOVO LACRADO ",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gtx-1660-asus-phoenix-nvidia-geforce-6gb-gddr5-novo-lacrado-1368931134,"Belo Horizonte, Lourdes","16 de mai, 07:07","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(27).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"PLACA DE VIDEO INNO3D GEFORCE RTX 3060 TWIN X2 OC, 12GB, GDDR6 NOVO LACRADO ",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-inno3d-geforce-rtx-3060-twin-x2-oc-12gb-gddr6-novo-lacrado-1368933012,"Belo Horizonte, Lourdes","16 de mai, 07:03","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(28).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Sapphire Radeon RX Nitro Rx 6700xt,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-sapphire-radeon-rx-nitro-rx-6700xt-1404286061,"Vespasiano, Nova Pampulha","16 de mai, 00:52","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(29).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Galax GeForce GTX,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-galax-geforce-gtx-1404152123,"Belo Horizonte, Eymard","15 de mai, 16:38","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(33).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa De Vídeo Galax NVIDIA GeForce RTX 3060 Ti 1-Click OC Plus, 8GB, DDR6X, Nova, Lacrada",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-galax-nvidia-geforce-rtx-3060-ti-1-click-oc-plus-8gb-ddr6x-nova-lacrada-1395492814,"Uberlândia, Alto Umuarama","15 de mai, 08:40","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(40).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo Gtx1650 D6 Ventus XS Ocv3 MSi Nvidia GeForce 4GB GDdr6,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gtx1650-d6-ventus-xs-ocv3-msi-nvidia-geforce-4gb-gddr6-1323822598,"Belo Horizonte, Centro","15 de mai, 08:39","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(41).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Vídeo RTX 4060 Gaming Verto OC Dual Fan PNY NVIDIA GeForce, 08GB GDDR6",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rtx-4060-gaming-verto-oc-dual-fan-pny-nvidia-geforce-08gb-gddr6-1361304623,"Belo Horizonte, Centro","15 de mai, 08:30","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(42).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo iMac 2011 A1311,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-imac-2011-a1311-1403833435,"Belo Horizonte, Pompéia","14 de mai, 17:01","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(46).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo AMD Radeon RX 550 4GB,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/informatica/placas-de-video/placa-de-video-amd-radeon-rx-550-4gb-1398659812,Sardoá,"14 de mai, 11:21","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(2).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Winfox GeForce GT730 4gb,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-winfox-geforce-gt730-4gb-1375613983,"Contagem, Sapucaia II","13 de mai, 16:31","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(13).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
"Placa de Video RTX 4060 Infinity 2 Palit NVIDIA GeForce, 8GB, GDDR6, DLSS, Ray Tracing, G-",https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rtx-4060-infinity-2-palit-nvidia-geforce-8gb-gddr6-dlss-ray-tracing-g-1340277453,"Belo Horizonte, Centro","13 de mai, 13:19","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(16).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo INNO3D GeForce RTX 3060 Twin X2 (NOVO LACRADO),https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-inno3d-geforce-rtx-3060-twin-x2-novo-lacrado-1340277173,"Belo Horizonte, Centro","13 de mai, 13:14","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(17).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Radeon RX 550 4GB GDDR5,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-radeon-rx-550-4gb-gddr5-1403298089,"Belo Horizonte, São Cristóvão","13 de mai, 13:14","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(18).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
PLACA DE VIDEO,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/placa-de-video-1403005604,"Juiz de Fora, Nova Era","12 de mai, 15:03","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(26).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Galax GeForce GTX 1660 Ti 6GB,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/informatica/placas-de-video/placa-de-video-galax-geforce-gtx-1660-ti-6gb-1378472222,Pedras de Maria da Cruz,"12 de mai, 10:42","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(34).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
